"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"POL","","ALL","1987","95"
"GEO","","ALL","1981","90"
"MDA","","ALL","1999","99"
"GBR","","ALL","1988","75"
"BIH","","ALL","2014","98"
"BLR","","ALL","2014","99"
"TUR","","ALL","1995","68"
"HUN","","ALL","2009","99"
"GEO","","ALL","1999","95"
"SWE","","ALL","1990","13"
"NOR","","ALL","2009","91"
"NOR","","ALL","1983","90"
"TUR","","ALL","1992","67"
"FRA","","ALL","2001","84"
"SWE","","ALL","1991","12"
"GBR","","ALL","1995","9"
"BGR","","ALL","2015","96"
"ARM","","ALL","2005","94"
"ARM","","ALL","2004","96"
"KGZ","","ALL","2016","97"
"UZB","","ALL","1987","98"
"MLT","","ALL","2008","86"
"","EU_MEMBERS","ALL","1998","69.57540329"
"","SEEHN","ALL","1994","87.15081045"
"FRA","","ALL","2002","85"
"FRA","","ALL","1984","96"
"IRL","","ALL","2005","93"
"TUR","","ALL","1989","16"
"MLT","","ALL","1985","65"
"ISR","","ALL","1982","68"
"UKR","","ALL","1996","97"
"PRT","","ALL","2011","97"
"GEO","","ALL","2004","91"
"MDA","","ALL","2014","97"
"","SEEHN","ALL","1987","87.45535502"
"MDA","","ALL","1993","92"
"GEO","","ALL","1983","95"
"UZB","","ALL","1992","98"
"GEO","","ALL","2008","95"
"FRA","","ALL","2008","44"
"ALB","","ALL","1994","87"
"POL","","ALL","1985","95"
"GBR","","ALL","1984","5"
"","SEEHN","ALL","2008","91.15196998"
"AUT","","ALL","1982","90"
"MLT","","ALL","1992","79"
"PRT","","ALL","1993","91"
"HRV","","ALL","2012","99"
"TUR","","ALL","1999","78"
"BLR","","ALL","2006","99"
"","EU_MEMBERS","ALL","1997","69.51607741"
"IRL","","ALL","2013","86"
"EST","","ALL","2014","95"
"FRA","","ALL","1991","78"
"HUN","","ALL","2013","99"
"SVN","","ALL","1997","97"
"SVN","","ALL","1998","98"
"LVA","","ALL","2013","94"
"MKD","","ALL","2007","95"
"UZB","","ALL","1996","96"
"UZB","","ALL","1999","98"
"POL","","ALL","1980","93"
"UZB","","ALL","1989","94"
"MKD","","ALL","2014","99"
"MNE","","ALL","2014","91"
"SWE","","ALL","2004","18"
"","WHO_EURO","ALL","1996","79.74919262"
"GRC","","ALL","1993","65"
"","WHO_EURO","ALL","1999","82.30021356"
"GEO","","ALL","2006","95"
"MDA","","ALL","2001","99"
"BLR","","ALL","2004","99"
"GRC","","ALL","2000","88"
"SRB","","ALL","2012","98"
"SRB","","ALL","2015","98"
"FIN","","ALL","2002","99"
"POL","","ALL","1981","93"
"UZB","","ALL","2003","99"
"TJK","","ALL","2016","98"
"ALB","","ALL","1984","90"
"FRA","","ALL","2007","78"
"BLR","","ALL","2012","98"
"GBR","","ALL","1991","5"
"GBR","","ALL","1989","75"
"","SEEHN","ALL","2009","91.10744917"
"LVA","","ALL","2009","96"
"GBR","","ALL","1993","7"
"ALB","","ALL","2013","99"
"HRV","","ALL","2014","98"
"LUX","","ALL","1996","59"
"MKD","","ALL","2012","95"
"EST","","ALL","2010","97"
"EST","","ALL","2015","95"
"FRA","","ALL","1988","79"
"BGR","","ALL","2007","98"
"","SEEHN","ALL","2013","89.97678926"
"LTU","","ALL","1993","98"
"ARM","","ALL","1998","95"
"LVA","","ALL","2010","92"
"HUN","","ALL","2004","99"
"","EU_AFTER_MAY2004","ALL","2006","96.90408911"
"LTU","","ALL","2011","98"
"MNE","","ALL","2007","98"
"BIH","","ALL","2003","94"
"UZB","","ALL","1995","99"
"MKD","","ALL","1994","90"
"MNE","","ALL","2010","95"
"HUN","","ALL","1994","99"
"IRL","","ALL","1985","80"
"POL","","ALL","1982","93"
"POL","","ALL","1986","95"
"IRL","","ALL","2004","91"
"HRV","","ALL","2003","98"
"SRB","","ALL","2009","98"
"SWE","","ALL","1983","10"
"TUR","","ALL","1997","73"
"UKR","","ALL","2011","90"
"LTU","","ALL","2002","99"
"GEO","","ALL","1991","91"
"GEO","","ALL","2009","95"
"","EU_MEMBERS","ALL","2003","69.74581995"
"BLR","","ALL","2015","97"
"GBR","","ALL","1997","11"
"","SEEHN","ALL","1999","90.64965091"
"","SEEHN","ALL","2006","91.33604792"
"","SEEHN","ALL","2007","91.16858768"
"AUT","","ALL","1987","90"
"BIH","","ALL","2010","99"
"BLR","","ALL","2010","99"
"BGR","","ALL","2010","98"
"MLT","","ALL","1988","67"
"FRA","","ALL","2004","85"
"MLT","","ALL","1991","87"
"SWE","","ALL","1989","13"
"TJK","","ALL","2006","94"
"SVN","","ALL","1996","98"
"KAZ","","ALL","2002","99"
"BGR","","ALL","2005","98"
"EST","","ALL","1991","98"
"TKM","","ALL","2002","99"
"TKM","","ALL","2000","99"
"MLT","","ALL","2013","92"
"KGZ","","ALL","2011","98"
"SVK","","ALL","2001","93"
"HUN","","ALL","1990","99"
"RUS","","ALL","1993","87"
"TUR","","ALL","1998","76"
"TUR","","ALL","1980","74"
"PRT","","ALL","1983","76"
"PRT","","ALL","1991","89"
"UKR","","ALL","2005","96"
"UKR","","ALL","2002","98"
"PRT","","ALL","2007","98"
"PRT","","ALL","2009","98"
"GEO","","ALL","2005","95"
