"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"FRA","","ALL","1996","84"
"ESP","","ALL","2008","98"
"","SMALL","ALL","2009","88.61359632"
"CYP","","ALL","1995","83"
"CYP","","ALL","2003","86"
"LUX","","ALL","1990","80"
"","SMALL","ALL","2012","90.76070169"
"SWE","","ALL","2012","97"
"KGZ","","ALL","2000","98"
"ROU","","ALL","2002","98"
"LUX","","ALL","2008","96"
"ESP","","ALL","2002","97"
"","SMALL","ALL","2007","89.63810843"
"","SMALL","ALL","2008","89.29684009"
"LUX","","ALL","2014","99"
"CYP","","ALL","2006","87"
"ESP","","ALL","2014","96"
"","EU_BEFORE_MAY2004","ALL","2006","89.30977639"
"ROU","","ALL","2001","98"
"LUX","","ALL","1996","91"
"ESP","","ALL","2006","97"
"SMR","","ALL","2005","94"
"ROU","","ALL","2015","86"
"LUX","","ALL","2015","99"
"FRA","","ALL","1994","80"
"LUX","","ALL","2009","96"
"MLT","","ALL","2013","99"
"FRA","","ALL","1983","15"
"POL","","ALL","1999","97"
"LUX","","ALL","2012","99"
"LUX","","ALL","1987","77"
"ROU","","ALL","2007","97"
"ESP","","ALL","1988","84"
"ROU","","ALL","2004","97"
"ESP","","ALL","2003","98"
"SMR","","ALL","1992","99"
"ALB","","ALL","1988","96"
"","EU_BEFORE_MAY2004","ALL","2007","91.58773291"
"ROU","","ALL","2010","95"
"ROU","","ALL","2014","89"
"SMR","","ALL","2009","93"
"SMR","","ALL","2015","53"
"PRT","","ALL","2015","98"
"LUX","","ALL","1989","80"
"ROU","","ALL","2013","92"
"ESP","","ALL","2007","97"
"ROU","","ALL","2005","97"
"","SMALL","ALL","2011","90.15986178"
"NOR","","ALL","1988","87"
"FRA","","ALL","2012","90"
"ALB","","ALL","1991","80"
"FIN","","ALL","2013","97"
"LUX","","ALL","2006","95"
"KGZ","","ALL","1997","98"
"MDA","","ALL","2007","96"
"HUN","","ALL","2011","99"
"SMR","","ALL","2012","87"
"SWE","","ALL","2004","96"
"ROU","","ALL","2003","97"
"SRB","","ALL","1983","95"
"","SMALL","ALL","2000","87.65025256"
"ISL","","ALL","1994","98"
"MLT","","ALL","1984","10"
"FRA","","ALL","2005","87"
"","EU_BEFORE_MAY2004","ALL","2004","88.84736843"
"SMR","","ALL","2010","68"
"","WHO_EURO","ALL","2001","91.94985882"
"PRT","","ALL","2008","97"
"KGZ","","ALL","1998","98"
"ALB","","ALL","1986","96"
"RUS","","ALL","1988","89"
"HUN","","ALL","2005","99"
"POL","","ALL","2000","97"
"","SEEHN","ALL","1988","87.85372313"
"KAZ","","ALL","2013","99"
"NOR","","ALL","1983","80"
"NLD","","ALL","1984","92"
"PRT","","ALL","1998","96"
"KGZ","","ALL","2002","98"
"SMR","","ALL","2003","91"
"LUX","","ALL","1988","71"
"LUX","","ALL","1991","80"
"RUS","","ALL","1991","79"
"","SMALL","ALL","1992","86.94401212"
"MLT","","ALL","1985","10"
"ISL","","ALL","1986","95"
"LVA","","ALL","2015","96"
"FRA","","ALL","2001","85"
"SWE","","ALL","2013","97"
"LUX","","ALL","1992","80"
"SMR","","ALL","1999","99"
"AZE","","ALL","2005","98"
"ROU","","ALL","2011","93"
"KGZ","","ALL","2013","99"
"NLD","","ALL","1982","92"
"MLT","","ALL","2011","84"
"","EU_BEFORE_MAY2004","ALL","2010","88.55495305"
"","SEEHN","ALL","1986","89.32346015"
"TKM","","ALL","2007","99"
"FRA","","ALL","2010","70"
"HUN","","ALL","2010","99"
"PRT","","ALL","1995","94"
"PRT","","ALL","1986","75"
"MLT","","ALL","1987","59"
"ISL","","ALL","2001","88"
"KGZ","","ALL","2011","97"
"DNK","","ALL","1987","82"
"FRA","","ALL","1999","83"
"LUX","","ALL","2013","99"
"POL","","ALL","1990","95"
"","EU_BEFORE_MAY2004","ALL","2014","93.29602516"
"ISL","","ALL","1984","96"
"FRA","","ALL","1997","83"
"LUX","","ALL","2010","96"
"NOR","","ALL","1995","92"
"CYP","","ALL","2008","87"
"TKM","","ALL","2014","99"
"PRT","","ALL","1997","96"
"ROU","","ALL","1996","94"
"","SMALL","ALL","2003","90.25595199"
"","SEEHN","ALL","1987","92.45786725"
"","SMALL","ALL","1996","85.92804995"
"SRB","","ALL","2013","92"
"NLD","","ALL","2005","95"
"","SMALL","ALL","1989","85.3441819"
"ROU","","ALL","1993","93"
"ISR","","ALL","2003","96"
"HRV","","ALL","2011","96"
"HRV","","ALL","2001","94"
"","SMALL","ALL","2013","91.09902679"
"LVA","","ALL","2008","96"
"TKM","","ALL","2004","97"
"AZE","","ALL","2008","97"
"FRA","","ALL","1993","78"
"AND","","ALL","2010","99"
"MNE","","ALL","2013","88"
"","SMALL","ALL","2010","88.53437446"
"FRA","","ALL","2000","84"
"ARM","","ALL","2002","60"
"NLD","","ALL","2011","96"
"AND","","ALL","2004","98"
"AND","","ALL","2014","96"
"BLR","","ALL","2013","99"
"UKR","","ALL","2008","94"
"LVA","","ALL","1985","98"
"ALB","","ALL","1989","96"
"","SMALL","ALL","2004","90.87532754"
"NOR","","ALL","1985","90"
"FRA","","ALL","1995","83"
"NLD","","ALL","1991","94"
"ALB","","ALL","1984","96"
"GBR","","ALL","2010","89"
"SMR","","ALL","2013","74"
"PRT","","ALL","1991","96"
"ROU","","ALL","1988","78"
"LUX","","ALL","1983","39"
"KAZ","","ALL","1991","91"
"","EU_MEMBERS","ALL","2005","90.92851841"
"SWE","","ALL","1990","96"
"","EU_BEFORE_MAY2004","ALL","2003","88.74052814"
"","SMALL","ALL","2005","89.32806101"
"PRT","","ALL","2003","96"
"LTU","","ALL","2010","96"
"ISL","","ALL","2010","93"
"SRB","","ALL","1989","90"
"","SMALL","ALL","2006","91.15422751"
"ROU","","ALL","2000","98"
"ESP","","ALL","1985","79"
"SMR","","ALL","2007","92"
"","SEEHN","ALL","1985","91.65303553"
"ISL","","ALL","1989","99"
"ISL","","ALL","1988","99"
"TKM","","ALL","2010","99"
"SMR","","ALL","2004","98"
"","SEEHN","ALL","2015","90.61487716"
"","SMALL","ALL","1991","86.48837704"
"EST","","ALL","2000","93"
"PRT","","ALL","1992","99"
"MLT","","ALL","2016","93"
"ROU","","ALL","1983","83"
"LVA","","ALL","1991","96"
"ESP","","ALL","1987","85"
"","EU_BEFORE_MAY2004","ALL","2008","91.66267885"
"LVA","","ALL","1981","94"
"","SEEHN","ALL","1981","88.01660895"
"GEO","","ALL","2016","93"
"SRB","","ALL","1984","90"
"NOR","","ALL","1986","87"
"LUX","","ALL","2005","95"
"CYP","","ALL","1997","90"
"LTU","","ALL","2002","98"
"KGZ","","ALL","1995","97"
"LVA","","ALL","2001","98"
"","SMALL","ALL","1990","84.71628037"
"PRT","","ALL","1994","91"
"ISR","","ALL","1993","92"
"ISL","","ALL","1983","81"
"GBR","","ALL","2008","86"
"AZE","","ALL","2002","97"
"SWE","","ALL","2006","97"
"TKM","","ALL","2009","99"
"NOR","","ALL","1984","80"
"PRT","","ALL","2002","92"
"RUS","","ALL","2004","98"
"ESP","","ALL","1982","27"
"CHE","","ALL","2001","82"
"CHE","","ALL","2003","82"
"CHE","","ALL","2004","82"
"ALB","","ALL","1996","92"
"PRT","","ALL","1988","84"
"PRT","","ALL","1987","81"
"CYP","","ALL","2011","87"
"NOR","","ALL","1987","87"
"","SMALL","ALL","2002","86.73915091"
"ALB","","ALL","1987","96"
"FIN","","ALL","1981","70"
"ROU","","ALL","1998","97"
"KGZ","","ALL","1994","88"
"EST","","ALL","1995","81"
"MLT","","ALL","2000","74"
"ROU","","ALL","1986","81"
"EST","","ALL","1997","88"
"ALB","","ALL","1997","95"
"ESP","","ALL","1990","99"
"PRT","","ALL","1996","99"
"LVA","","ALL","2011","92"
"CYP","","ALL","1984","25"
"ESP","","ALL","2013","95"
"ROU","","ALL","1994","91"
"MLT","","ALL","2007","79"
"CHE","","ALL","2002","82"
"MLT","","ALL","2009","82"
"TKM","","ALL","2012","99"
"HUN","","ALL","1987","99"
"KGZ","","ALL","1992","94"
"KGZ","","ALL","1991","94"
"","SMALL","ALL","1988","76.88500515"
"LVA","","ALL","2006","98"
"","EU_AFTER_MAY2004","ALL","1986","90.99406129"
"","EU_AFTER_MAY2004","ALL","1987","93.93832026"
"SWE","","ALL","2015","98"
"FRA","","ALL","1991","74"
"ROU","","ALL","1992","91"
"MLT","","ALL","2006","94"
"GRC","","ALL","2016","97"
"GRC","","ALL","2015","97"
"AND","","ALL","2009","98"
"GBR","","ALL","1983","58"
"GBR","","ALL","2007","86"
"HRV","","ALL","2016","90"
"POL","","ALL","1989","95"
"ARM","","ALL","1991","93"
"ITA","","ALL","1990","43"
"EST","","ALL","2011","94"
"PRT","","ALL","2010","96"
"PRT","","ALL","2011","97"
"KGZ","","ALL","1996","98"
"TUR","","ALL","1992","74"
"MLT","","ALL","2002","65"
"MLT","","ALL","2003","90"
"EST","","ALL","1996","86"
"MKD","","ALL","2015","89"
"RUS","","ALL","2008","99"
"ISL","","ALL","2016","91"
"FRA","","ALL","2006","81"
"SWE","","ALL","2005","96"
"SRB","","ALL","1981","95"
"EST","","ALL","1991","78"
"SMR","","ALL","1991","99"
"FIN","","ALL","2004","97"
"PRT","","ALL","1993","95"
"ALB","","ALL","1983","96"
"PRT","","ALL","2006","97"
"CHE","","ALL","1992","83"
"UZB","","ALL","2000","99"
"AUT","","ALL","2005","75"
"ROU","","ALL","1991","92"
"","WHO_EURO","ALL","2002","91.36632254"
"","EU_BEFORE_MAY2004","ALL","2013","93.27865129"
"","EU_MEMBERS","ALL","2001","89.00572654"
"","SMALL","ALL","1997","86.53044397"
"ALB","","ALL","1999","85"
"EST","","ALL","1990","82"
"ISL","","ALL","1997","99"
"ROU","","ALL","1997","97"
"ISL","","ALL","1993","99"
"NOR","","ALL","1989","84"
"NOR","","ALL","1991","94"
"FRA","","ALL","1992","76"
"NOR","","ALL","1993","93"
"NLD","","ALL","2015","95"
"HUN","","ALL","1989","99"
"TUR","","ALL","1980","27"
