"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"TKM","","ALL","2008","96"
"KAZ","","ALL","1997","99"
"","SMALL","ALL","1990","91.74981731"
"LTU","","ALL","2001","97"
"KAZ","","ALL","1998","99"
"BLR","","ALL","1995","96"
"","SEEHN","ALL","2015","91.13182041"
"TKM","","ALL","2001","94"
"IRL","","ALL","1984","74"
"TUR","","ALL","1992","78"
"KGZ","","ALL","2010","88"
"MLT","","ALL","1995","92"
"TKM","","ALL","2010","96"
"","WHO_EURO","ALL","1999","93.72109552"
"SRB","","ALL","2010","91"
"TUR","","ALL","1991","81"
"RUS","","ALL","1993","82"
"LVA","","ALL","1996","93"
"","EU_AFTER_MAY2004","ALL","1981","94.09561451"
"PRT","","ALL","2006","97"
"GRC","","ALL","2012","99"
"ROU","","ALL","2004","97"
"ROU","","ALL","2005","97"
"KAZ","","ALL","2008","99"
"TUR","","ALL","1998","81"
"ARM","","ALL","2004","93"
"LTU","","ALL","2015","93"
"ISR","","ALL","2013","94"
"","EU_AFTER_MAY2004","ALL","1984","93.92375439"
"IRL","","ALL","1982","79"
"","WHO_EURO","ALL","1998","93.40187427"
"MLT","","ALL","1996","92"
"ROU","","ALL","2001","99"
"","EU_AFTER_MAY2004","ALL","1983","93.95795598"
"LTU","","ALL","1989","87"
"TUR","","ALL","2001","88"
"","EU_AFTER_MAY2004","ALL","2009","96.27052301"
"LTU","","ALL","1988","84"
"AUT","","ALL","1997","95"
"FIN","","ALL","2013","98"
"ESP","","ALL","2000","95"
"TJK","","ALL","1993","77"
"BLR","","ALL","2015","99"
"TKM","","ALL","1990","92"
"LTU","","ALL","1993","86"
"LTU","","ALL","1994","88"
"KAZ","","ALL","2011","99"
"BLR","","ALL","1996","98"
"MLT","","ALL","2008","72"
"TUR","","ALL","1995","67"
"PRT","","ALL","2004","95"
"LVA","","ALL","1995","98"
"SRB","","ALL","2011","94"
"MLT","","ALL","2006","83"
"PRT","","ALL","2000","96"
"AUT","","ALL","1985","90"
"LVA","","ALL","1992","95"
"ISL","","ALL","2011","95"
"CYP","","ALL","1981","44"
"TKM","","ALL","2004","98"
"BLR","","ALL","1994","92"
"CHE","","ALL","2012","96"
"ISR","","ALL","2004","95"
"TUR","","ALL","2000","85"
"ISL","","ALL","2004","99"
"ISL","","ALL","2005","95"
"POL","","ALL","2010","96"
"SMR","","ALL","2005","95"
"ISL","","ALL","2016","91"
"DNK","","ALL","2016","94"
"GRC","","ALL","2007","99"
"AUT","","ALL","1984","90"
"LTU","","ALL","1995","89"
"","EU_AFTER_MAY2004","ALL","1982","94.00424229"
"ROU","","ALL","2013","88"
"BLR","","ALL","1993","91"
"SWE","","ALL","2012","98"
"LTU","","ALL","2008","96"
"LVA","","ALL","1994","98"
"LTU","","ALL","1990","77"
"GRC","","ALL","2016","99"
"KGZ","","ALL","2002","99"
"HUN","","ALL","2006","99"
"ISL","","ALL","2006","97"
"AUT","","ALL","2004","83"
"","EU_AFTER_MAY2004","ALL","2005","97.72426182"
"KAZ","","ALL","2002","95"
"KGZ","","ALL","1996","94"
"POL","","ALL","1989","96"
"LTU","","ALL","1991","79"
"","WHO_EURO","ALL","1992","85.85283046"
"ISR","","ALL","2007","95"
"AUT","","ALL","1982","90"
"MLT","","ALL","1986","73"
"MLT","","ALL","2007","76"
"MLT","","ALL","1981","75"
"PRT","","ALL","2005","93"
"ARM","","ALL","2001","97"
"","SMALL","ALL","1992","90.65832508"
"POL","","ALL","1985","94"
"PRT","","ALL","2003","96"
"CYP","","ALL","1980","35"
"MLT","","ALL","1994","78"
"LVA","","ALL","2004","99"
"","EU_BEFORE_MAY2004","ALL","2014","96.48640716"
"SRB","","ALL","2013","97"
"KAZ","","ALL","2013","98"
"POL","","ALL","2009","96"
"KGZ","","ALL","1994","84"
"","EU_BEFORE_MAY2004","ALL","1996","92.56257516"
"MLT","","ALL","2001","70"
"SRB","","ALL","2008","95"
"","EU_AFTER_MAY2004","ALL","2007","97.60565711"
"TKM","","ALL","2005","99"
"KGZ","","ALL","1997","99"
"LTU","","ALL","2000","92"
"KGZ","","ALL","1998","97"
"LTU","","ALL","2014","93"
"","EU_AFTER_MAY2004","ALL","2001","97.55140925"
"KGZ","","ALL","2000","99"
"","CIS","ALL","2010","92.55380095"
"MLT","","ALL","1984","90"
"PRT","","ALL","2013","98"
"AUT","","ALL","1981","90"
"ISL","","ALL","2007","97"
"UZB","","ALL","1990","90"
"IRL","","ALL","1980","72"
"KGZ","","ALL","1995","96"
"LVA","","ALL","1999","95"
"MLT","","ALL","1988","79"
"MLT","","ALL","1987","87"
"KGZ","","ALL","1992","91"
"GRC","","ALL","2015","99"
"TJK","","ALL","1996","89"
"POL","","ALL","1983","95"
"KAZ","","ALL","1996","98"
"LTU","","ALL","1999","88"
"AUT","","ALL","1983","90"
"MLT","","ALL","2009","73"
"","EU_BEFORE_MAY2004","ALL","2001","94.78744793"
"KAZ","","ALL","1994","69"
"HUN","","ALL","2016","99"
"HRV","","ALL","2016","93"
"TKM","","ALL","2009","97"
"HRV","","ALL","2011","96"
"","EU_AFTER_MAY2004","ALL","1999","97.2809776"
"KAZ","","ALL","1993","69"
"LVA","","ALL","2013","94"
"MLT","","ALL","1991","86"
"ITA","","ALL","1994","98"
"ISL","","ALL","2003","97"
"","EU_AFTER_MAY2004","ALL","2003","97.22259447"
"LVA","","ALL","2005","99"
"","SEEHN","ALL","2014","93.02905467"
"ISL","","ALL","1993","99"
"","EU_AFTER_MAY2004","ALL","2002","97.43881102"
"MLT","","ALL","1985","84"
"KAZ","","ALL","1995","94"
"POL","","ALL","1982","95"
"NOR","","ALL","2003","92"
"ISR","","ALL","2005","95"
"GBR","","ALL","2016","94"
"IRL","","ALL","2004","89"
"POL","","ALL","2000","98"
"ESP","","ALL","2002","98"
"POL","","ALL","1990","96"
"TKM","","ALL","2007","98"
"TKM","","ALL","2014","98"
"KAZ","","ALL","1999","99"
"LTU","","ALL","2012","93"
"","SMALL","ALL","2013","96.68906391"
"","SMALL","ALL","2011","96.57593924"
"PRT","","ALL","2002","94"
"RUS","","ALL","2004","98"
"KGZ","","ALL","2001","99"
"POL","","ALL","2007","99"
"","WHO_EURO","ALL","1994","86.48376399"
"ESP","","ALL","1999","95"
"SRB","","ALL","2009","97"
"LUX","","ALL","2007","96"
"ARM","","ALL","1999","97"
"","EU_BEFORE_MAY2004","ALL","2015","96.21351212"
"KGZ","","ALL","2014","95"
"LVA","","ALL","1982","91"
"BGR","","ALL","2013","95"
"POL","","ALL","2001","98"
"","EU_AFTER_MAY2004","ALL","2010","96.07324164"
"ALB","","ALL","2001","97"
