"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"IRL","","ALL","1983","76"
"KGZ","","ALL","1990","99"
"MLT","","ALL","2002","95"
"BLR","","ALL","1998","99"
"SRB","","ALL","1997","94"
"ESP","","ALL","2014","97"
"EST","","ALL","1991","72"
"LTU","","ALL","2005","93"
"AUT","","ALL","1986","90"
"IRL","","ALL","2010","94"
"BGR","","ALL","2005","97"
"","SMALL","ALL","2012","96.56677448"
"KAZ","","ALL","1991","84"
"SMR","","ALL","2007","92"
"LTU","","ALL","2004","90"
"SMR","","ALL","2015","76"
"POL","","ALL","1999","98"
"RUS","","ALL","1992","69"
"LVA","","ALL","2014","92"
"ESP","","ALL","2005","96"
"GRC","","ALL","1984","98"
"CYP","","ALL","1983","36"
"MLT","","ALL","1989","88"
"NLD","","ALL","2009","97"
"GRC","","ALL","1985","96"
"LTU","","ALL","1996","93"
"ITA","","ALL","1999","97"
"MLT","","ALL","1993","83"
"POL","","ALL","1987","96"
"KGZ","","ALL","1993","69"
"SMR","","ALL","2009","92"
"BLR","","ALL","2003","90"
"ITA","","ALL","1998","96"
"","SMALL","ALL","1995","94.14355363"
"ALB","","ALL","1994","98"
"ALB","","ALL","1995","98"
"","EU_AFTER_MAY2004","ALL","2006","97.79816555"
"LUX","","ALL","2010","96"
"LUX","","ALL","2009","96"
"ESP","","ALL","1991","88"
"AUT","","ALL","1987","90"
"","EU_AFTER_MAY2004","ALL","2000","97.38821287"
"KGZ","","ALL","1991","87"
"ESP","","ALL","2007","96"
"BLR","","ALL","1992","90"
"ISL","","ALL","2008","98"
"LVA","","ALL","2003","98"
"","WHO_EURO","ALL","1997","91.80922487"
"LUX","","ALL","2003","99"
"TUR","","ALL","1989","74"
"UZB","","ALL","2008","98"
"NLD","","ALL","2010","97"
"TKM","","ALL","1991","91"
"KAZ","","ALL","1990","85"
"AUT","","ALL","1991","90"
"LVA","","ALL","2000","96"
"SMR","","ALL","2012","96"
"POL","","ALL","1986","95"
"","EU_MEMBERS","ALL","2002","95.39506027"
"ROU","","ALL","2003","97"
"CZE","","ALL","2016","96"
"TKM","","ALL","2015","99"
"RUS","","ALL","2005","98"
"IRL","","ALL","2008","93"
"FIN","","ALL","2016","92"
"CYP","","ALL","1984","31"
"ISR","","ALL","2006","94"
"ROU","","ALL","2010","94"
"KGZ","","ALL","2004","98"
"","WHO_EURO","ALL","1991","86.72750222"
"KGZ","","ALL","2005","98"
"","WHO_EURO","ALL","1995","87.79118799"
"","EU_MEMBERS","ALL","2001","95.35348923"
"IRL","","ALL","1990","81"
"IRL","","ALL","1997","76"
"SMR","","ALL","2004","98"
"DNK","","ALL","2013","94"
"CYP","","ALL","2002","98"
"ESP","","ALL","1990","94"
"NOR","","ALL","2009","94"
"GBR","","ALL","1990","90"
"ITA","","ALL","2009","96"
"BLR","","ALL","2016","98"
"ITA","","ALL","2000","97"
"CYP","","ALL","2016","97"
"","WHO_EURO","ALL","1996","91.97013169"
"BLR","","ALL","2013","98"
"POL","","ALL","2002","98"
"","EU_BEFORE_MAY2004","ALL","2000","94.70718474"
"","EU_MEMBERS","ALL","1997","93.11731803"
"","EU_AFTER_MAY2004","ALL","2004","97.38198805"
"SWE","","ALL","1997","99"
"IRL","","ALL","1981","76"
"RUS","","ALL","2003","97"
"","EU_AFTER_MAY2004","ALL","1997","96.92591661"
"GBR","","ALL","2007","92"
"KGZ","","ALL","2003","98"
"","SEEHN","ALL","2004","95.69177575"
"UZB","","ALL","2011","99"
"","SEEHN","ALL","2007","95.21649142"
"ROU","","ALL","1987","90"
"ISR","","ALL","2011","94"
"IRL","","ALL","2000","86"
"","WHO_EURO","ALL","2000","94.59059182"
"BLR","","ALL","1999","99"
"TUR","","ALL","2011","97"
"SWE","","ALL","1982","98"
"POL","","ALL","1980","96"
"MLT","","ALL","1992","81"
"LTU","","ALL","1997","95"
"CHE","","ALL","2015","97"
"ALB","","ALL","2011","99"
"","SMALL","ALL","2007","93.12754697"
"NOR","","ALL","1992","98"
"AUT","","ALL","1993","90"
"MLT","","ALL","1990","86"
"NLD","","ALL","2008","97"
"NOR","","ALL","2015","95"
"NOR","","ALL","2002","93"
"","EU_AFTER_MAY2004","ALL","1994","94.80534216"
"","CARINFONET","ALL","2014","96.87702152"
"POL","","ALL","1981","95"
"HRV","","ALL","2005","96"
"IRL","","ALL","1985","90"
"BLR","","ALL","1984","82"
"ESP","","ALL","1995","88"
"ESP","","ALL","1997","94"
"ESP","","ALL","1998","94"
"LVA","","ALL","1986","93"
"LVA","","ALL","2008","94"
"LTU","","ALL","1992","88"
"TKM","","ALL","2012","98"
"LVA","","ALL","1998","94"
"SMR","","ALL","2003","96"
"NOR","","ALL","2004","92"
"HUN","","ALL","1981","98"
"UZB","","ALL","1999","99"
"ISL","","ALL","1995","99"
"GEO","","ALL","2016","92"
"LTU","","ALL","2003","91"
"KGZ","","ALL","2013","97"
"HUN","","ALL","2012","99"
"LVA","","ALL","1990","92"
"KGZ","","ALL","2011","94"
"KGZ","","ALL","2012","94"
"CYP","","ALL","1982","27"
"","EU_AFTER_MAY2004","ALL","1985","93.87610348"
"ESP","","ALL","2013","96"
"KAZ","","ALL","2001","95"
"HUN","","ALL","1982","99"
"KGZ","","ALL","2009","96"
"ITA","","ALL","1991","98"
"NOR","","ALL","1991","93"
"","CIS","ALL","1992","79.98321782"
"","SMALL","ALL","2009","93.04947887"
"","SMALL","ALL","2010","93.79944978"
"ITA","","ALL","1990","98"
"","EU_AFTER_MAY2004","ALL","1992","94.28975246"
"","EU_AFTER_MAY2004","ALL","1993","94.086027"
"UKR","","ALL","2010","57"
"RUS","","ALL","2010","98"
"","EU_AFTER_MAY2004","ALL","1995","95.57907238"
"","EU_AFTER_MAY2004","ALL","1996","96.57872828"
"SMR","","ALL","2010","75"
"LVA","","ALL","1993","83"
"BLR","","ALL","1985","83"
"KGZ","","ALL","1999","99"
"POL","","ALL","2004","99"
"FRA","","ALL","2006","99"
"KGZ","","ALL","2006","93"
"LVA","","ALL","1985","93"
"UZB","","ALL","1987","95"
"UZB","","ALL","2003","99"
"","CIS","ALL","2005","97.6850514"
"GBR","","ALL","2015","96"
"LUX","","ALL","2012","99"
"KGZ","","ALL","2008","95"
"BEL","","ALL","1989","95"
"","CIS","ALL","2009","94.77969887"
"","EU_AFTER_MAY2004","ALL","2013","94.50828433"
"LVA","","ALL","1997","92"
"HRV","","ALL","2001","94"
"BLR","","ALL","1997","98"
"GBR","","ALL","1986","85"
"NOR","","ALL","1983","90"
"TUR","","ALL","2010","97"
"ISR","","ALL","2009","96"
"","SMALL","ALL","1996","95.06546799"
"CYP","","ALL","1995","96"
"GBR","","ALL","1981","71"
"NOR","","ALL","1989","84"
"","SMALL","ALL","2006","93.95632229"
"","CIS","ALL","1991","81.51845621"
"LUX","","ALL","1989","90"
"","SMALL","ALL","2004","95.25331667"
"NOR","","ALL","1993","92"
"ITA","","ALL","1992","97"
"UKR","","ALL","1990","81"
"FRA","","ALL","1995","97"
"HRV","","ALL","1994","87"
"KGZ","","ALL","2015","97"
"ISR","","ALL","1994","97"
"ISR","","ALL","1995","96"
"","EU_AFTER_MAY2004","ALL","1998","96.99270393"
"POL","","ALL","2003","98"
"ITA","","ALL","1993","97"
"BGR","","ALL","2008","96"
"SMR","","ALL","2014","80"
"NOR","","ALL","2008","94"
"NOR","","ALL","2010","93"
"GEO","","ALL","2013","94"
"NOR","","ALL","2011","94"
"ESP","","ALL","2001","95"
"GRC","","ALL","1981","95"
"ALB","","ALL","1996","99"
"SWE","","ALL","2009","98"
"ARM","","ALL","2007","90"
"ISL","","ALL","1992","94"
"BLR","","ALL","2002","99"
"PRT","","ALL","2015","98"
"POL","","ALL","1988","96"
"ISL","","ALL","1997","99"
"HRV","","ALL","2015","94"
"IRL","","ALL","1999","86"
"PRT","","ALL","1990","89"
"HRV","","ALL","2012","96"
"SWE","","ALL","1983","98"
"EST","","ALL","1995","80"
"LUX","","ALL","2005","99"
"MCO","","ALL","1995","99"
"CYP","","ALL","1996","98"
"NOR","","ALL","1990","84"
"","SMALL","ALL","2005","95.35446467"
"FRA","","ALL","1992","95"
"UKR","","ALL","2001","99"
"","CIS","ALL","1993","76.64014646"
"","EU_AFTER_MAY2004","ALL","1990","94.34721849"
"NOR","","ALL","1995","92"
"KAZ","","ALL","2005","99"
"LUX","","ALL","2014","99"
"LUX","","ALL","2011","96"
"GEO","","ALL","2000","98"
"RUS","","ALL","2012","98"
"BIH","","ALL","2002","92"
"NOR","","ALL","2005","91"
"FRA","","ALL","2005","98"
"FIN","","ALL","2012","99"
"POL","","ALL","2012","95"
"","EU_AFTER_MAY2004","ALL","2015","93.08298858"
"","EU_MEMBERS","ALL","2000","95.26760754"
"ITA","","ALL","1997","98"
"SRB","","ALL","1996","91"
"ISR","","ALL","2003","93"
"LTU","","ALL","2013","93"
"TJK","","ALL","2006","95"
"TJK","","ALL","2008","87"
"KAZ","","ALL","1992","87"
"","CIS","ALL","2006","97.08275883"
"","CIS","ALL","2007","96.43192039"
"GEO","","ALL","2015","91"
"","WHO_EURO","ALL","1990","85.5694229"
"ESP","","ALL","2003","99"
"TUR","","ALL","2002","78"
"HRV","","ALL","2002","95"
"IRL","","ALL","2001","84"
"POL","","ALL","1991","94"
"","EU_BEFORE_MAY2004","ALL","2002","94.88164565"
"","EU_BEFORE_MAY2004","ALL","2011","96.25277717"
"TUR","","ALL","1988","68"
"CYP","","ALL","1986","91"
"MNE","","ALL","2008","95"
"KAZ","","ALL","2009","99"
"","SMALL","ALL","2000","95.06187704"
"","SMALL","ALL","2002","95.07633903"
"RUS","","ALL","1986","57"
"","SMALL","ALL","2003","95.56820145"
"UKR","","ALL","1991","86"
"UKR","","ALL","2006","99"
"LUX","","ALL","2015","99"
"","SMALL","ALL","2015","94.8352841"
"CYP","","ALL","2008","97"
"DNK","","ALL","1995","97"
"CYP","","ALL","2009","99"
"ITA","","ALL","1989","75"
"ISR","","ALL","1997","95"
"BIH","","ALL","2015","74"
"BGR","","ALL","2016","92"
"UZB","","ALL","1992","85"
"UZB","","ALL","1996","97"
"UZB","","ALL","1998","99"
"","EU_MEMBERS","ALL","1998","95.08834359"
"","EU_BEFORE_MAY2004","ALL","1993","91.40415577"
"UZB","","ALL","2006","94"
"IRL","","ALL","2003","86"
"","CIS","ALL","2004","98.1911797"
"GBR","","ALL","1982","73"
"GBR","","ALL","1999","92"
"GBR","","ALL","1991","92"
"GBR","","ALL","2014","95"
"","CIS","ALL","2008","96.38582933"
"GBR","","ALL","1995","94"
"GBR","","ALL","1993","94"
"","EU_BEFORE_MAY2004","ALL","1994","92.05533024"
"TUR","","ALL","2004","85"
"HRV","","ALL","2000","94"
"","EU_BEFORE_MAY2004","ALL","1999","94.96989889"
"ROU","","ALL","2014","94"
"TUR","","ALL","2008","96"
"SWE","","ALL","2013","98"
"NOR","","ALL","1984","90"
"FRA","","ALL","2013","99"
"NOR","","ALL","1988","84"
"MNE","","ALL","2011","95"
"CYP","","ALL","1997","98"
"","CIS","ALL","1990","79.53418046"
"CZE","","ALL","1997","97"
"","CARINFONET","ALL","2010","96.78307952"
"KAZ","","ALL","2010","98"
"CYP","","ALL","2000","97"
"NLD","","ALL","2002","97"
"BEL","","ALL","2012","99"
"","CARINFONET","ALL","2012","97.96609752"
"KAZ","","ALL","2004","99"
"KAZ","","ALL","2003","99"
"NOR","","ALL","1997","91"
"HRV","","ALL","1998","93"
"HRV","","ALL","2010","97"
"SRB","","ALL","1991","81"
"","CIS","ALL","2000","97.83975501"
"BLR","","ALL","2005","98"
"TJK","","ALL","1990","86"
"LUX","","ALL","2004","99"
"ISR","","ALL","2010","95"
"ALB","","ALL","1993","98"
"ISL","","ALL","1983","97"
"EST","","ALL","2012","94"
"UZB","","ALL","2009","99"
"","SEEHN","ALL","2013","92.43018545"
"BLR","","ALL","2004","99"
"ALB","","ALL","2002","98"
"ISL","","ALL","1994","99"
"ALB","","ALL","2008","99"
"BLR","","ALL","1988","87"
"","EU_BEFORE_MAY2004","ALL","1997","92.06522996"
"EST","","ALL","1993","67"
"DNK","","ALL","2001","97"
"PRT","","ALL","1989","88"
"CZE","","ALL","1991","99"
"FRA","","ALL","1981","80"
"AZE","","ALL","2011","98"
"BIH","","ALL","1993","45"
"TUR","","ALL","1987","71"
"","EU_AFTER_MAY2004","ALL","1986","93.98833072"
"","SMALL","ALL","1997","95.04766745"
"LUX","","ALL","1988","90"
"NLD","","ALL","2006","96"
"RUS","","ALL","2001","97"
"GEO","","ALL","1993","82"
"","SMALL","ALL","2008","93.54292873"
"GEO","","ALL","1994","82"
"GEO","","ALL","1995","82"
"NOR","","ALL","1994","93"
"ESP","","ALL","1989","94"
"BGR","","ALL","1987","99"
"HRV","","ALL","1997","92"
"GEO","","ALL","2004","66"
"NOR","","ALL","1996","92"
"MNE","","ALL","2013","94"
"KGZ","","ALL","2007","94"
"LVA","","ALL","2006","96"
"FRA","","ALL","2009","98"
"SRB","","ALL","1995","90"
"ALB","","ALL","2004","98"
"ALB","","ALL","2009","98"
"ALB","","ALL","2006","97"
"","EU_BEFORE_MAY2004","ALL","2004","95.50292713"
"LVA","","ALL","2012","91"
"","EU_BEFORE_MAY2004","ALL","2008","95.6473775"
"","EU_BEFORE_MAY2004","ALL","2009","95.72366298"
"AUT","","ALL","1988","90"
"AUT","","ALL","1989","90"
"MLT","","ALL","1998","92"
"","EU_BEFORE_MAY2004","ALL","1992","91.21915685"
"HUN","","ALL","2005","99"
"","EU_BEFORE_MAY2004","ALL","1998","94.57207206"
"AND","","ALL","2014","97"
"TUR","","ALL","2009","96"
"TUR","","ALL","2007","96"
"TUR","","ALL","2006","90"
"ITA","","ALL","2003","97"
"CHE","","ALL","2006","94"
"MCO","","ALL","1999","99"
"ITA","","ALL","2015","93"
"TUR","","ALL","1990","74"
"FRA","","ALL","1991","95"
"NOR","","ALL","1985","90"
"UKR","","ALL","2003","99"
"LUX","","ALL","2016","99"
"LVA","","ALL","2016","98"
"FRA","","ALL","1994","97"
"MLT","","ALL","2004","89"
"SMR","","ALL","2008","87"
"MDA","","ALL","2009","95"
"MKD","","ALL","2015","92"
"GEO","","ALL","1999","98"
"","CIS","ALL","1995","88.48090593"
"","CIS","ALL","1996","93.07688535"
"IRL","","ALL","2015","95"
"ESP","","ALL","1994","88"
"","CIS","ALL","1999","97.82102623"
"LVA","","ALL","2011","92"
"LVA","","ALL","2015","95"
"IRL","","ALL","2014","96"
"LUX","","ALL","2006","99"
"IRL","","ALL","2007","92"
"GBR","","ALL","2013","95"
"","CIS","ALL","2003","96.76112873"
"SVN","","ALL","1992","98"
"IRL","","ALL","2006","91"
"BEL","","ALL","1988","95"
"GBR","","ALL","1998","91"
"IRL","","ALL","2005","90"
"BEL","","ALL","1990","95"
"ROU","","ALL","1985","92"
"BLR","","ALL","2000","99"
"ITA","","ALL","2001","96"
"AUT","","ALL","1994","90"
"AUT","","ALL","1995","90"
"NLD","","ALL","1983","97"
"DNK","","ALL","2011","91"
"DNK","","ALL","2010","90"
"TKM","","ALL","2006","98"
"MNE","","ALL","2007","92"
"","CARINFONET","ALL","2003","95.93048597"
"CHE","","ALL","2007","94"
"FRA","","ALL","1990","95"
"","CARINFONET","ALL","2009","97.73466638"
"","CARINFONET","ALL","2008","96.24647045"
"NLD","","ALL","2004","98"
"KAZ","","ALL","2007","94"
"UZB","","ALL","2014","99"
"UZB","","ALL","1985","93"
"HRV","","ALL","1993","86"
"","EU_MEMBERS","ALL","1989","89.86955986"
"NOR","","ALL","2006","94"
"NOR","","ALL","2014","93"
"ROU","","ALL","2012","92"
"SRB","","ALL","1990","81"
"BIH","","ALL","1991","93"
"POL","","ALL","2005","99"
"SRB","","ALL","1993","83"
"GBR","","ALL","2006","92"
"","EU_MEMBERS","ALL","1999","95.45743553"
"ALB","","ALL","1992","97"
"ISR","","ALL","2002","93"
"EST","","ALL","2014","93"
"DEU","","ALL","2013","95"
"SWE","","ALL","2001","99"
"EST","","ALL","2002","94"
"EST","","ALL","1984","83"
"GRC","","ALL","1986","97"
"BLR","","ALL","1981","81"
"POL","","ALL","1984","95"
"MLT","","ALL","2013","99"
"AUT","","ALL","1992","90"
"BLR","","ALL","1982","83"
"BLR","","ALL","1987","86"
"IRL","","ALL","1998","84"
"EST","","ALL","1994","76"
"PRT","","ALL","1991","95"
"ISR","","ALL","2012","94"
"BIH","","ALL","1992","65"
"IRL","","ALL","2011","95"
"EST","","ALL","2013","94"
"EST","","ALL","1998","88"
"NOR","","ALL","1987","80"
"POL","","ALL","1995","96"
"NOR","","ALL","1986","84"
"GEO","","ALL","1992","68"
"","EU_AFTER_MAY2004","ALL","1991","92.18581873"
"RUS","","ALL","2002","97"
"ESP","","ALL","1987","82"
"ESP","","ALL","1988","94"
"ITA","","ALL","1988","85"
"BGR","","ALL","2001","94"
"RUS","","ALL","2015","97"
"BGR","","ALL","1986","99"
"TJK","","ALL","1992","73"
"BEL","","ALL","2016","98"
"BGR","","ALL","2002","94"
"BGR","","ALL","2012","95"
"BLR","","ALL","1986","84"
"GEO","","ALL","2007","88"
"ITA","","ALL","1995","98"
"ITA","","ALL","1996","97"
"","EU_BEFORE_MAY2004","ALL","2005","94.98341671"
"ESP","","ALL","2016","97"
"","WHO_EURO","ALL","1983","78.92318661"
"BGR","","ALL","2009","94"
"EST","","ALL","2016","93"
"","EU_AFTER_MAY2004","ALL","2014","94.77992553"
"BGR","","ALL","1990","99"
"","EU_AFTER_MAY2004","ALL","2012","95.36112456"
"BGR","","ALL","2006","96"
"IRL","","ALL","1989","81"
"HUN","","ALL","1986","99"
"HUN","","ALL","1987","99"
"HUN","","ALL","1988","99"
"HUN","","ALL","1989","99"
"TUR","","ALL","2005","90"
"ITA","","ALL","2006","97"
"CHE","","ALL","2004","95"
"FRA","","ALL","1983","92"
"AZE","","ALL","2007","97"
"CYP","","ALL","1987","93"
"CYP","","ALL","1988","90"
"UKR","","ALL","2000","99"
"SRB","","ALL","2012","93"
"","EU_MEMBERS","ALL","2004","95.87820118"
"FRA","","ALL","1993","95"
"","SMALL","ALL","2014","95.80476195"
"CZE","","ALL","1999","98"
"CZE","","ALL","2006","98"
"NLD","","ALL","2011","97"
"ROU","","ALL","1999","98"
"DNK","","ALL","1993","96"
"GBR","","ALL","2000","91"
"","CIS","ALL","1994","79.21099993"
"UKR","","ALL","2008","91"
"IRL","","ALL","2002","83"
"NLD","","ALL","2007","97"
"BIH","","ALL","2016","79"
"GBR","","ALL","1984","78"
"ISL","","ALL","2014","90"
"GBR","","ALL","2004","92"
"","CIS","ALL","2002","97.68253964"
"SVK","","ALL","2003","98"
"MDA","","ALL","2003","98"
"GBR","","ALL","1983","83"
"CHE","","ALL","2013","96"
"DNK","","ALL","2014","94"
"BEL","","ALL","1984","95"
"BEL","","ALL","1986","99"
"MDA","","ALL","1989","92"
"BGR","","ALL","2004","94"
"ITA","","ALL","2005","97"
"ITA","","ALL","2007","97"
"GBR","","ALL","2008","92"
"ITA","","ALL","2002","96"
"HUN","","ALL","1990","99"
"ROU","","ALL","2015","89"
"POL","","ALL","1992","94"
"CHE","","ALL","1998","92"
"TJK","","ALL","2011","97"
"CHE","","ALL","2002","95"
"UZB","","ALL","1983","92"
"KAZ","","ALL","2014","95"
"","CARINFONET","ALL","2006","95.58545403"
"","CARINFONET","ALL","2007","94.70276303"
"BIH","","ALL","2000","87"
"BIH","","ALL","2014","86"
"AND","","ALL","2004","99"
"AND","","ALL","2008","99"
"AND","","ALL","2011","99"
"ISR","","ALL","1993","97"
"BGR","","ALL","1995","97"
"BGR","","ALL","1996","95"
"HRV","","ALL","1996","91"
"BGR","","ALL","2003","96"
"ROU","","ALL","2007","96"
"ISR","","ALL","1998","96"
"BIH","","ALL","2007","95"
"SRB","","ALL","1994","84"
"UZB","","ALL","2015","99"
"","EU_MEMBERS","ALL","1996","93.44926897"
"","SEEHN","ALL","2003","94.58661207"
"UZB","","ALL","2001","99"
"GRC","","ALL","1980","90"
"","SEEHN","ALL","2008","95.13259378"
"ALB","","ALL","1997","99"
"ALB","","ALL","1998","97"
"ALB","","ALL","1999","97"
"ARM","","ALL","2008","91"
"ARM","","ALL","2009","94"
"PRT","","ALL","2008","97"
"BLR","","ALL","1983","82"
"ISL","","ALL","1996","99"
"BLR","","ALL","1991","90"
"DNK","","ALL","2003","96"
"LTU","","ALL","2009","98"
"RUS","","ALL","1994","68"
"PRT","","ALL","1992","93"
"DNK","","ALL","2009","89"
"POL","","ALL","1993","95"
"BLR","","ALL","2012","98"
"LUX","","ALL","1983","90"
"RUS","","ALL","1988","61"
"TKM","","ALL","2003","66"
"RUS","","ALL","1990","69"
"POL","","ALL","2006","99"
"LUX","","ALL","1997","98"
"LUX","","ALL","2008","96"
"ITA","","ALL","1986","95"
"ITA","","ALL","1987","81"
"ESP","","ALL","1985","73"
"HUN","","ALL","2013","99"
"RUS","","ALL","1987","50"
"RUS","","ALL","2000","97"
"BGR","","ALL","2000","94"
"AZE","","ALL","2016","98"
"BEL","","ALL","2015","99"
"ISR","","ALL","2008","94"
